Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2002-05-10,ICICI,EQ,63.5,63.65,65.1,63.3,65.0,64.8,64.45,720072,4640699275000.0,0.0,538430.0,0.7477
2002-05-13,ICICI,EQ,64.8,63.5,66.65,63.5,64.95,65.0,65.53,1009142,6612539375000.0,0.0,663912.0,0.6579
2002-05-14,ICICI,EQ,65.0,65.7,67.3,65.15,67.0,67.0,66.79,1367201,9131738400000.0,0.0,959544.0,0.7018000000000001
2002-05-15,ICICI,EQ,67.0,67.5,69.0,65.1,65.7,65.9,67.34,967471,6515045835000.0,0.0,366771.0,0.3791
2002-05-16,ICICI,EQ,65.9,65.8,65.8,63.8,65.0,64.75,64.64,449839,2907640675000.0,0.0,236697.0,0.5262
2002-05-17,ICICI,EQ,64.75,65.0,66.0,64.05,65.9,65.95,65.35,636460,4159158835000.0,0.0,422128.0,0.6631999999999999
2002-05-20,ICICI,EQ,65.95,66.0,66.9,64.1,65.0,64.7,65.2,396532,2585207785000.0,0.0,207456.0,0.5232
2002-05-21,ICICI,EQ,64.7,64.0,64.45,61.2,63.95,63.8,63.02,552812,3483772465000.0,0.0,307765.0,0.5567000000000001
2002-05-22,ICICI,EQ,63.8,63.05,63.95,62.0,62.5,62.4,62.91,271122,1705750110000.0002,0.0,151900.0,0.5603
2002-05-23,ICICI,EQ,62.4,62.15,63.2,60.25,61.0,61.05,61.29,278897,1709426360000.0002,0.0,175721.0,0.6301
2002-05-24,ICICI,EQ,61.05,61.9,63.0,61.0,62.45,62.5,62.3,238255,1484346210000.0,0.0,157390.0,0.6606000000000001
2002-05-27,ICICI,EQ,62.5,63.3,63.5,62.05,62.65,62.8,62.88,298538,1877227314999.9998,0.0,223419.0,0.7484000000000001
2002-05-28,ICICI,EQ,62.8,62.8,63.95,61.6,61.8,61.8,62.56,270450,1691830060000.0002,0.0,141800.0,0.5243
2002-05-29,ICICI,EQ,61.8,61.3,62.5,61.3,62.1,62.0,61.89,127233,787474815000.0,0.0,0.0,0.0
2002-05-30,ICICI,EQ,62.0,61.4,62.5,60.7,61.35,61.25,61.68,465878,2873686230000.0,0.0,0.0,0.0
